depth,age.cal.BP,Alnus,Betula,Corylus,Fagus,Fraxinus,Juniperus,Pinus,Prunus spp,Quercus,Salix,Sorbus,Tilia,Ulmus,Hedera Helix,Ilex aquifolium,Ericaceae undiff.,Calluna vulgaris,Poaceae,Apiaceae,Artemisia-type,Asteraceae,Caryophyllaceae,Centaurea nigra,Cirsium-type,Cyperaceae,Filipendunla,Galium,Gentiana type,Lactuceae,Plantago lanceolata,Potentilla type,Ranunculus acris-type`,Rosaceae undiff.,Succisa pratensis,Urtica dioca,Sum
25,3006,45,3,138,5,0,0,0,0,25,0,0,0,1,0,0,0,72,81,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,376
25.5,3037,61,10,111,0,10,0,0,0,40,1,1,0,0,0,0,0,59,59,0,0,0,0,0,0,5,1,0,0,0,3,2,0,0,0,0,363
26,3068,44,3,123,0,7,0,3,0,38,4,0,0,5,1,0,0,86,41,0,0,0,0,0,0,9,0,0,0,1,0,2,0,0,0,0,367
26.5,3099,50,8,120,2,0,5,1,5,19,0,0,2,0,0,0,21,44,68,0,0,0,0,0,0,12,0,0,2,0,2,2,5,1,0,0,369
27,3130,74,10,166,0,0,4,0,2,21,0,1,0,0,0,0,2,22,35,0,0,0,0,0,0,12,0,0,3,0,4,0,9,0,0,0,365
27.5,3160,83,11,140,0,3,4,0,1,23,1,0,0,1,1,0,6,32,33,0,0,0,1,0,0,11,0,0,2,0,2,0,11,0,0,0,366
28,3191,74,9,129,0,14,0,0,0,32,0,0,3,1,0,0,7,30,40,0,0,0,0,0,0,6,0,0,0,0,1,2,8,0,0,0,356
28.5,3222,42,8,149,1,8,0,4,2,42,4,0,0,4,0,0,6,39,39,0,0,0,0,0,0,4,0,0,0,0,0,2,3,0,0,0,357
29,3253,56,5,127,0,7,0,3,0,23,5,0,1,2,1,0,10,66,41,0,0,1,0,0,0,7,0,0,0,0,2,2,4,0,0,0,363
29.5,3284,50,7,156,1,5,0,2,0,36,3,0,0,3,0,0,3,35,34,0,0,0,0,0,0,16,1,0,1,0,4,0,4,1,0,0,362
30,3314,68,11,127,0,4,0,1,1,40,8,0,0,5,1,0,3,18,40,0,0,0,1,0,0,23,0,0,0,0,3,4,5,2,1,0,366
30.5,3345,77,11,135,0,3,1,1,0,38,1,1,1,5,1,0,0,11,33,0,0,0,0,0,0,26,0,0,2,0,3,2,7,2,0,0,361
31,3376,62,11,108,0,4,0,1,0,65,2,0,0,1,1,0,4,29,47,1,0,0,1,0,0,15,0,1,0,0,3,0,13,0,0,0,369
31.5,3407,46,21,108,0,4,0,1,1,39,1,0,4,3,1,0,8,41,51,0,1,0,0,0,1,25,0,0,0,0,2,7,5,0,0,0,370
32,3438,39,14,98,0,2,0,0,1,31,1,0,2,1,0,0,11,59,80,0,0,0,0,0,0,13,0,0,0,0,1,19,0,3,0,0,375
32.5,3468,39,17,108,0,4,0,2,1,37,2,0,0,2,1,0,8,52,64,0,0,0,0,0,0,17,4,0,0,0,0,6,6,0,0,0,370
33,3499,53,20,118,0,0,0,1,2,42,1,0,0,3,1,0,3,50,43,0,1,1,0,0,0,15,1,0,0,0,2,5,4,1,0,0,367
33.5,3530,55,15,117,0,2,0,1,0,47,3,0,0,9,1,0,5,43,33,0,0,0,0,0,0,22,1,0,0,0,1,0,12,3,0,0,370
34,3561,47,7,119,0,1,0,0,1,32,4,0,0,5,0,0,4,67,36,0,0,0,0,0,0,26,0,2,0,0,2,2,5,4,0,0,364
34.5,3592,49,11,118,1,0,0,1,0,42,1,0,3,4,1,0,4,69,34,0,0,0,1,0,0,27,0,0,0,0,1,1,2,1,0,0,371
35,3622,36,10,143,0,0,0,0,0,33,1,0,1,6,0,0,2,76,17,0,0,0,0,0,0,36,1,0,0,0,1,1,2,1,0,0,367
35.5,3653,50,17,156,0,1,0,0,0,49,3,0,1,4,0,0,2,13,21,0,0,0,0,0,0,29,0,0,0,0,6,2,4,0,0,0,358
36,3684,46,16,113,0,2,0,0,0,49,1,0,1,3,2,0,2,49,28,0,0,0,0,0,0,46,0,0,0,0,0,2,7,0,0,0,367
36.5,3715,49,5,139,1,1,0,2,2,64,1,1,2,3,1,0,2,12,35,0,0,0,0,0,0,38,1,0,0,0,1,0,9,0,0,0,369
37,3746,40,14,141,0,1,0,1,0,61,0,3,1,5,3,0,0,10,41,0,0,0,0,0,0,41,0,0,0,0,1,1,2,2,0,0,368
37.5,3776,46,14,144,1,0,0,1,0,61,1,5,0,5,0,0,0,9,21,0,0,1,0,0,0,43,0,1,0,0,3,4,8,2,0,0,370
38,3807,28,14,151,0,0,0,0,0,70,0,1,0,4,0,0,1,39,31,0,0,0,0,0,0,18,0,0,0,0,3,2,4,1,0,0,367
38.5,3838,38,7,141,0,0,0,1,0,60,0,1,0,0,1,0,1,21,27,0,0,0,0,0,0,71,0,0,0,0,1,0,0,0,0,0,370
39,3869,44,14,132,0,0,0,1,0,62,1,0,0,1,0,0,1,9,16,0,0,0,0,0,0,77,0,0,0,0,0,2,3,1,1,0,365
39.5,3900,36,9,122,0,0,0,0,0,75,2,0,1,0,2,0,0,28,23,0,0,0,0,0,0,65,0,0,0,0,2,0,3,0,0,0,368
40,3930,42,6,120,0,0,0,0,0,53,0,0,0,3,2,0,3,12,13,0,0,0,0,3,0,101,0,0,0,0,1,1,6,0,0,0,366
40.5,3961,23,12,121,0,0,0,0,0,51,1,0,0,1,0,0,0,25,9,0,0,0,0,1,1,110,0,0,0,0,3,0,3,0,0,0,361
41,3992,32,9,113,0,0,0,0,0,51,1,0,0,0,1,0,0,9,9,0,0,0,0,3,0,126,0,0,0,0,3,1,4,0,0,0,362
41.5,4023,32,11,102,0,1,0,0,0,58,0,2,1,1,0,0,1,6,9,0,0,0,0,0,0,133,1,0,0,0,0,1,3,0,0,0,362
42,4054,26,8,83,0,0,0,0,0,51,1,0,0,0,0,0,1,10,10,0,0,0,0,0,0,175,0,0,0,0,3,0,1,0,0,0,369
42.5,4084,38,7,75,0,0,0,0,0,52,2,0,0,1,2,0,0,16,9,0,0,0,0,0,0,150,0,0,0,0,1,0,6,1,0,0,360
43,4115,30,11,73,0,1,0,1,0,64,2,0,0,0,1,0,1,13,7,0,0,0,0,0,0,160,0,0,0,0,0,0,1,0,0,0,365
43.5,4146,28,11,105,0,0,0,0,1,53,2,0,0,1,2,0,0,11,11,0,0,0,0,1,0,131,0,0,0,0,2,0,1,0,0,0,360
44,4177,40,7,95,0,0,0,2,0,72,0,0,1,0,1,0,0,15,4,0,1,0,0,0,0,124,0,0,0,0,1,0,1,1,0,0,365
44.5,4208,26,9,85,0,0,0,1,0,56,0,0,0,0,0,0,0,24,6,0,0,0,0,0,0,147,0,0,0,0,1,0,1,2,0,0,358
45,4238,35,6,100,0,0,0,0,0,66,1,0,0,0,0,0,0,16,5,0,0,0,0,0,0,134,0,0,0,0,3,0,2,0,0,0,368
45.5,4269,37,11,96,0,0,0,1,0,52,0,1,0,0,0,0,0,8,12,0,0,0,0,0,0,143,0,0,0,0,3,0,2,0,0,0,366
46,4300,36,5,124,0,0,0,0,0,48,2,0,0,2,0,0,1,17,17,0,0,0,0,0,0,94,0,0,0,0,4,0,4,0,0,0,354
46.5,4331,40,7,114,0,0,0,0,0,39,0,0,0,1,1,0,0,15,14,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,365
47,4362,32,8,103,0,0,0,0,0,56,0,0,0,1,0,0,0,13,10,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,369
47.5,4392,43,4,132,0,0,0,2,0,49,1,0,0,2,0,0,0,10,8,0,0,0,0,0,0,104,0,0,0,0,3,1,0,0,0,0,359
48,4423,40,12,108,0,0,0,2,0,56,0,0,0,0,0,0,1,5,12,0,1,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,361
48.5,4454,43,11,86,0,0,0,0,0,58,3,0,1,2,2,0,0,7,12,0,0,0,0,0,0,130,0,0,0,0,1,0,2,0,0,2,360
49,4474,38,7,110,0,0,0,2,0,59,1,0,0,3,0,1,1,8,7,0,0,0,0,0,0,110,0,0,0,0,0,2,1,1,2,0,353
49.5,4495,44,8,122,0,0,0,1,0,66,1,1,0,2,2,0,0,18,7,0,0,0,0,0,0,95,0,0,0,0,1,0,1,0,0,0,369
50,4515,36,7,139,0,0,0,1,0,76,0,0,3,1,0,0,2,21,11,0,0,0,0,0,0,55,0,0,0,0,2,4,4,0,0,0,362
50.5,4535,34,9,137,2,0,0,2,0,80,1,0,2,1,1,0,0,13,8,0,0,0,0,0,1,62,0,0,0,0,1,2,5,1,0,0,362
51,4555,32,7,142,0,0,0,2,0,90,0,4,0,4,3,0,0,13,13,0,0,0,0,0,0,48,0,0,0,0,1,0,3,0,0,0,362
51.5,4576,37,19,124,1,0,0,0,0,75,0,0,1,3,0,0,0,33,5,0,0,0,0,0,1,54,0,0,0,0,3,0,8,1,0,0,365
52,4596,34,5,153,0,0,0,2,0,65,1,0,2,1,0,0,0,35,19,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,362
52.5,4616,52,8,147,0,0,0,0,0,50,0,0,2,3,0,0,3,43,9,0,1,0,0,2,0,43,0,0,0,0,3,0,1,0,0,5,372
